INFO:2025-02-05 11:30:45,430: Epoch [1/50], Step [180/70717], Mel Loss: 0.59705, Gen Loss: 0.00000, Disc Loss: 0.00000, Mono Loss: 0.00000, S2S Loss: 0.00000, SLM Loss: 0.00000
INFO:2025-02-05 11:30:48,993: Epoch [1/50], Step [190/70717], Mel Loss: 0.56110, Gen Loss: 0.00000, Disc Loss: 0.00000, Mono Loss: 0.00000, S2S Loss: 0.00000, SLM Loss: 0.00000
INFO:2025-02-05 11:30:53,161: Epoch [1/50], Step [200/70717], Mel Loss: 0.58076, Gen Loss: 0.00000, Disc Loss: 0.00000, Mono Loss: 0.00000, S2S Loss: 0.00000, SLM Loss: 0.00000
INFO:2025-02-05 11:30:57,170: Epoch [1/50], Step [210/70717], Mel Loss: 0.53904, Gen Loss: 0.00000, Disc Loss: 0.00000, Mono Loss: 0.00000, S2S Loss: 0.00000, SLM Loss: 0.00000
INFO:2025-02-05 11:31:01,413: Epoch [1/50], Step [220/70717], Mel Loss: 0.56783, Gen Loss: 0.00000, Disc Loss: 0.00000, Mono Loss: 0.00000, S2S Loss: 0.00000, SLM Loss: 0.00000
INFO:2025-02-05 11:31:05,595: Epoch [1/50], Step [230/70717], Mel Loss: 0.59210, Gen Loss: 0.00000, Disc Loss: 0.00000, Mono Loss: 0.00000, S2S Loss: 0.00000, SLM Loss: 0.00000
INFO:2025-02-05 11:31:09,753: Epoch [1/50], Step [240/70717], Mel Loss: 0.58570, Gen Loss: 0.00000, Disc Loss: 0.00000, Mono Loss: 0.00000, S2S Loss: 0.00000, SLM Loss: 0.00000
INFO:2025-02-05 11:31:13,751: Epoch [1/50], Step [250/70717], Mel Loss: 0.56173, Gen Loss: 0.00000, Disc Loss: 0.00000, Mono Loss: 0.00000, S2S Loss: 0.00000, SLM Loss: 0.00000
INFO:2025-02-05 11:31:17,659: Epoch [1/50], Step [260/70717], Mel Loss: 0.56423, Gen Loss: 0.00000, Disc Loss: 0.00000, Mono Loss: 0.00000, S2S Loss: 0.00000, SLM Loss: 0.00000
INFO:2025-02-05 11:31:21,676: Epoch [1/50], Step [270/70717], Mel Loss: 0.57982, Gen Loss: 0.00000, Disc Loss: 0.00000, Mono Loss: 0.00000, S2S Loss: 0.00000, SLM Loss: 0.00000
INFO:2025-02-05 11:31:26,980: Epoch [1/50], Step [280/70717], Mel Loss: 0.57182, Gen Loss: 0.00000, Disc Loss: 0.00000, Mono Loss: 0.00000, S2S Loss: 0.00000, SLM Loss: 0.00000
INFO:2025-02-05 11:31:30,985: Epoch [1/50], Step [290/70717], Mel Loss: 0.56803, Gen Loss: 0.00000, Disc Loss: 0.00000, Mono Loss: 0.00000, S2S Loss: 0.00000, SLM Loss: 0.00000
INFO:2025-02-05 11:31:34,410: Epoch [1/50], Step [300/70717], Mel Loss: 0.54672, Gen Loss: 0.00000, Disc Loss: 0.00000, Mono Loss: 0.00000, S2S Loss: 0.00000, SLM Loss: 0.00000
INFO:2025-02-05 11:31:38,451: Epoch [1/50], Step [310/70717], Mel Loss: 0.55348, Gen Loss: 0.00000, Disc Loss: 0.00000, Mono Loss: 0.00000, S2S Loss: 0.00000, SLM Loss: 0.00000
